parent,component,qty_per,find_num,effectivity_start,effectivity_end,option_code,notes
CREW-CRU,FRAME-CRU-NA,1,100,2025-01-01,,,"NA frame, standard"
CREW-CRU,BODY-WHT,1,110,2025-01-01,,COLOR-WHT,"Std white body"
CREW-CRU,BODY-GRN,1,110,2025-03-01,,COLOR-GRN,"Mkt promo green. Not compatible w/ SEAT-RED-01."
CREW-CRU,BODY-BLU,1,110,2025-01-01,,COLOR-BLU,"Std blue body"
CREW-CRU,SEAT-BLK-01,1,210,2025-01-01,,SEAT-BLK,"Std black bucket seat"
CREW-CRU,SEAT-BEI-01,1,210,2025-01-01,,SEAT-BEI,"Beige bucket - opt"
CREW-CRU,SEAT-RED-01,1,210,2025-03-01,,SEAT-RED,"Red bucket - promo run, limited"
CREW-CRU,WHL-ALU-14,4,305,2025-01-01,,WHL-ALU,"14in alloy wheel"
CREW-CRU,WHL-STL-14,4,305,2025-01-01,,WHL-STL,"14in steel wheel - base"
CREW-CRU,CANOPY-STD,1,410,2025-01-01,,CANOPY-STD,"Standard canopy"
CREW-CRU,CANOPY-DLX,1,410,2025-01-01,,CANOPY-DLX,"Deluxe canopy - req DASH-DLX, clearance issue w/ folding windshield"
CREW-CRU,WS-FOLDING,1,420,2025-01-01,,WS-FLD,"Folding windshield - not valid with deluxe canopy"
CREW-CRU,WS-FIXED,1,420,2025-01-01,,WS-FIX,"Fixed windshield"
CREW-CRU,WS-NONE,1,420,2025-01-01,,WS-NONE,"No windshield kit"
CREW-CRU,DASH-STD,1,505,2025-01-01,,,"Standard dash"
CREW-CRU,DASH-DLX,1,505,2025-01-01,,,"Deluxe dash, pairs with deluxe canopy"
CREW-CRU,BATTERY-48V,1,601,2025-01-01,,,"48V battery pack"
CREW-CRU,MOTOR-AC-5KW,1,602,2025-01-01,,,"5kW AC motor"
CREW-CRU,CONTROLLER-PDS,1,603,2025-01-01,,,"PDS motor controller"
CREW-CRU,AXLE-FRONT,1,701,2025-01-01,,,"Front axle assembly"
CREW-CRU,AXLE-REAR,1,702,2025-01-01,,,"Rear axle assembly"
CREW-CRU,BRAKE-ASSY,1,750,2025-01-01,,,"Brake assembly"
CREW-CRU,HARNESS-MAIN,1,801,2025-01-01,,,"Main wiring harness"
CREW-CRU,LIGHTS-LED,1,850,2025-01-01,,,"LED lighting kit"
CREW-CRU,CHARGER-48V,1,901,2025-01-01,,,"48V onboard charger"
